Time [s], PLETH
7.168,0.30596
7.2,0.30108
7.232,0.29717
7.264,0.29619
7.296,0.29814
7.328,0.30401
7.36,0.31476
7.392,0.32942
7.424,0.34897
7.456,0.37439
7.488,0.40665
7.52,0.44184
7.552,0.47801
7.584,0.5132
7.616,0.54545
7.648,0.57478
7.68,0.6002
7.712,0.6217
7.744,0.63832
7.776,0.65103
7.808,0.65885
7.84,0.66373
7.872,0.66862
7.904,0.67351
7.936,0.67742
7.968,0.68133
8,0.68719
8.032,0.69501
8.064,0.70283
8.096,0.71261
8.128,0.72043
8.16,0.7263
8.192,0.72923
8.224,0.72825
8.256,0.72532
8.288,0.7175
8.32,0.70674
8.352,0.69208
8.384,0.67351
8.416,0.65298
8.448,0.62952
8.48,0.60508
8.512,0.58162
8.544,0.55816
8.576,0.53763
8.608,0.52004
8.64,0.50635
8.672,0.49267
8.704,0.47996
8.736,0.46823
8.768,0.45552
8.8,0.44477
8.832,0.43402
8.864,0.42424
8.896,0.41447
8.928,0.40469
8.96,0.39687
8.992,0.39003
9.024,0.38416
9.056,0.3783
9.088,0.37243
9.12,0.36755
9.152,0.36461
9.184,0.36168
9.216,0.35875
9.248,0.35484
9.28,0.35093
9.312,0.34702
9.344,0.34115
9.376,0.33529
9.408,0.3304
9.44,0.32551
9.472,0.31867
9.504,0.31085
9.536,0.30303
9.568,0.29521
9.6,0.28739
9.632,0.27859
9.664,0.26979
9.696,0.261
9.728,0.2522
9.76,0.2434
9.792,0.23754
9.824,0.23363
9.856,0.23069
9.888,0.23069
9.92,0.23558
9.952,0.24536
9.984,0.26197
10.016,0.28543
10.048,0.31281
10.08,0.34213
10.112,0.37341
10.144,0.40371
10.176,0.42815
10.208,0.44868
10.24,0.46921
10.272,0.4868
10.304,0.50147
10.336,0.51417
10.368,0.52395
10.4,0.53079
10.432,0.53666
10.464,0.54057
10.496,0.54252
10.528,0.5435
10.56,0.5435
10.592,0.54154
10.624,0.53959
10.656,0.53568
10.688,0.52981
10.72,0.52395
10.752,0.51613
10.784,0.50635
10.816,0.49462
10.848,0.48192
10.88,0.46725
10.912,0.45259
10.944,0.43695
10.976,0.42326
11.008,0.41251
11.04,0.3998
11.072,0.3871
11.104,0.37537
11.136,0.36461
11.168,0.35582
11.2,0.348
11.232,0.34115
11.264,0.33627
11.296,0.33236
11.328,0.32845
11.36,0.32551
11.392,0.32258
11.424,0.32063
11.456,0.31769
11.488,0.31378
11.52,0.3089
11.552,0.30499
11.584,0.30108
11.616,0.29814
11.648,0.29619
11.68,0.29326
11.712,0.29032
11.744,0.28739
11.776,0.28641
11.808,0.28446
11.84,0.2825
11.872,0.27957
11.904,0.27761
11.936,0.27468
11.968,0.27273
12,0.27077
12.032,0.26882
12.064,0.26588
12.096,0.26295
12.128,0.261
12.16,0.25806
12.192,0.25709
12.224,0.25513
12.256,0.25318
12.288,0.25122
12.32,0.24829
12.352,0.24731
12.384,0.24633
12.416,0.24829
12.448,0.25513
12.48,0.26686
12.512,0.28641
12.544,0.31672
12.576,0.35093
12.608,0.38319
12.64,0.41935
12.672,0.45552
12.704,0.49169
12.736,0.52493
12.768,0.55425
12.8,0.58065
12.832,0.60215
12.864,0.61975
12.896,0.63441
12.928,0.64712
12.96,0.65689
12.992,0.66373
13.024,0.66764
13.056,0.67058
13.088,0.67351
13.12,0.67449
13.152,0.67449
13.184,0.67351
13.216,0.67058
13.248,0.66667
13.28,0.66178
13.312,0.65396
13.344,0.64516
13.376,0.63539
13.408,0.62463
13.44,0.61193
13.472,0.59726
13.504,0.5826
13.536,0.56696
13.568,0.5523
13.6,0.53763
13.632,0.52395
13.664,0.51222
13.696,0.50147
13.728,0.49169
13.76,0.48289
13.792,0.47605
13.824,0.47116
13.856,0.4653
13.888,0.45943
13.92,0.45455
13.952,0.44966
13.984,0.44477
14.016,0.43988
14.048,0.435
14.08,0.43011
14.112,0.42522
14.144,0.42033
14.176,0.41642
14.208,0.41349
14.24,0.40958
14.272,0.40567
14.304,0.40176
14.336,0.39785
14.368,0.39296
14.4,0.38905
14.432,0.38514
14.464,0.38221
14.496,0.3783
14.528,0.37439
14.56,0.37146
14.592,0.36852
14.624,0.36657
14.656,0.36461
14.688,0.36168
14.72,0.35777
14.752,0.35484
14.784,0.35191
14.816,0.348
14.848,0.34506
14.88,0.34213
14.912,0.34018
14.944,0.34018
14.976,0.34213
15.008,0.34702
15.04,0.35582
15.072,0.3695
15.104,0.39003
15.136,0.41642
15.168,0.44868
15.2,0.48387
15.232,0.52004
15.264,0.55621
15.296,0.59042
15.328,0.62072
15.36,0.64809
15.392,0.66862
15.424,0.68328
15.456,0.69795
15.488,0.71065
15.52,0.72239
15.552,0.73118
15.584,0.73803
15.616,0.74291
15.648,0.74682
15.68,0.74878
15.712,0.74976
15.744,0.74878
15.776,0.74585
15.808,0.74096
15.84,0.73607
15.872,0.73021
15.904,0.72141
15.936,0.71163
15.968,0.6999
16,0.68622
16.032,0.67058
16.064,0.65494
16.096,0.63832
16.128,0.6217
16.16,0.60606
16.192,0.59238
16.224,0.57967
16.256,0.56696
16.288,0.55523
16.32,0.54448
16.352,0.5347
16.384,0.52688
16.416,0.51906
16.448,0.51222
16.48,0.50635
16.512,0.49951
16.544,0.49365
16.576,0.48778
16.608,0.48289
16.64,0.47801
16.672,0.47214
16.704,0.46628
16.736,0.45943
16.768,0.45259
16.8,0.44575
16.832,0.43988
16.864,0.43402
16.896,0.42913
16.928,0.42522
16.96,0.42131
16.992,0.41838
17.024,0.41447
17.056,0.41056
17.088,0.40665
17.12,0.40176
17.152,0.39687
17.184,0.39198
17.216,0.38807
17.248,0.38416
17.28,0.38123
17.312,0.37732
17.344,0.37341
17.376,0.37048
17.408,0.36755
17.44,0.36461
17.472,0.3607
17.504,0.35777
17.536,0.35582
17.568,0.35679
17.6,0.36364
17.632,0.37439
17.664,0.39198
17.696,0.41544
17.728,0.44379
17.76,0.47214
17.792,0.50049
17.824,0.53177
17.856,0.565
17.888,0.59531
17.92,0.62366
17.952,0.64809
17.984,0.66862
18.016,0.68622
18.048,0.6999
18.08,0.71065
18.112,0.71848
18.144,0.72434
18.176,0.72825
18.208,0.73021
18.24,0.73118
18.272,0.73216
18.304,0.73216
18.336,0.73021
18.368,0.7263
18.4,0.72141
18.432,0.71457
18.464,0.70479
18.496,0.69501
18.528,0.68231
18.56,0.6696
18.592,0.65689
18.624,0.64125
18.656,0.62561
18.688,0.60899
18.72,0.59335
18.752,0.57771
18.784,0.56403
18.816,0.55034
18.848,0.53861
18.88,0.52786
18.912,0.51808
18.944,0.51026
18.976,0.5044
19.008,0.49853
19.04,0.49267
19.072,0.4868
19.104,0.48094
19.136,0.47507
19.168,0.46823
19.2,0.46139
19.232,0.4565
19.264,0.45161
19.296,0.44673
19.328,0.44184
19.36,0.43793
19.392,0.43402
19.424,0.43011
19.456,0.42424
19.488,0.41935
19.52,0.41544
19.552,0.41056
19.584,0.40665
19.616,0.40274
19.648,0.39785
19.68,0.39394
19.712,0.39003
19.744,0.38514
19.776,0.38221
19.808,0.37928
19.84,0.37537
19.872,0.37146
19.904,0.36755
19.936,0.36364
19.968,0.35973
20,0.35582
20.032,0.35288
20.064,0.34995
20.096,0.348
20.128,0.348
20.16,0.34897
20.192,0.35386
20.224,0.36364
20.256,0.37928
20.288,0.40176
20.32,0.43011
20.352,0.46334
20.384,0.49951
20.416,0.53666
20.448,0.57087
20.48,0.60313
20.512,0.63148
20.544,0.65494
20.576,0.67253
20.608,0.68524
20.64,0.69697
20.672,0.70674
20.704,0.71554
20.736,0.72043
20.768,0.72434
20.8,0.7263
20.832,0.72825
20.864,0.72825
20.896,0.72727
20.928,0.72434
20.96,0.71945
20.992,0.71261
21.024,0.70479
21.056,0.69404
21.088,0.68133
21.12,0.66667
21.152,0.65005
21.184,0.63148
21.216,0.6129
21.248,0.59238
21.28,0.57185
21.312,0.5523
21.344,0.53372
21.376,0.51808
21.408,0.50538
21.44,0.49169
21.472,0.47898
21.504,0.46823
21.536,0.45748
21.568,0.44673
21.6,0.43695
21.632,0.42717
21.664,0.41838
21.696,0.40958
21.728,0.40176
21.76,0.39492
21.792,0.38905
21.824,0.38221
21.856,0.37634
21.888,0.3695
21.92,0.36266
21.952,0.35484
21.984,0.34897
22.016,0.34213
22.048,0.33627
22.08,0.32942
22.112,0.32356
22.144,0.31672
22.176,0.31183
22.208,0.30792
22.24,0.30303
22.272,0.29814
22.304,0.29326
22.336,0.28739
22.368,0.28152
22.4,0.27566
22.432,0.27077
22.464,0.26588
22.496,0.261
22.528,0.25611
22.56,0.25318
22.592,0.24927
22.624,0.24536
22.656,0.24047
22.688,0.23558
22.72,0.23265
22.752,0.23265
22.784,0.23656
22.816,0.24633
22.848,0.26197
22.88,0.28641
22.912,0.31867
22.944,0.35582
22.976,0.39101
23.008,0.42522
23.04,0.46334
23.072,0.50244
23.104,0.53861
23.136,0.56989
23.168,0.59726
23.2,0.61975
23.232,0.63734
23.264,0.652
23.296,0.66276
23.328,0.67058
23.36,0.67546
23.392,0.67742
23.424,0.67937
23.456,0.67937
23.488,0.67742
23.52,0.67449
23.552,0.6696
23.584,0.66276
23.616,0.65396
23.648,0.64321
23.68,0.6305
23.712,0.61486
23.744,0.59726
23.776,0.57967
23.808,0.56305
23.84,0.54448
23.872,0.52395
23.904,0.50538
23.936,0.48583
23.968,0.46921
24,0.45259
24.032,0.43793
24.064,0.42424
24.096,0.41349
24.128,0.40274
24.16,0.39492
24.192,0.38807
24.224,0.38123
24.256,0.37341
24.288,0.36657
24.32,0.35875
24.352,0.35093
24.384,0.34311
24.416,0.33627
24.448,0.32942
24.48,0.32356
24.512,0.31672
24.544,0.31183
24.576,0.30694
24.608,0.30205
24.64,0.29619
24.672,0.29032
24.704,0.28446
24.736,0.27957
24.768,0.27468
24.8,0.26979
24.832,0.26393
24.864,0.25806
24.896,0.2522
24.928,0.24633
24.96,0.24145
24.992,0.23754
25.024,0.23363
25.056,0.22972
25.088,0.22581
25.12,0.2219
25.152,0.21799
25.184,0.2131
25.216,0.20821
25.248,0.20332
25.28,0.19941
25.312,0.1955
25.344,0.1955
25.376,0.19844
25.408,0.20821
25.44,0.22385
25.472,0.24829
25.504,0.27957
25.536,0.31769
25.568,0.3607
25.6,0.40469
25.632,0.44966
25.664,0.49169
25.696,0.52884
25.728,0.56207
25.76,0.58651
25.792,0.60508
25.824,0.62268
25.856,0.63734
25.888,0.64907
25.92,0.65885
25.952,0.66667
25.984,0.67253
26.016,0.67644
26.048,0.6784
26.08,0.6784
26.112,0.67742
26.144,0.67449
26.176,0.6696
26.208,0.66276
26.24,0.65396
26.272,0.64321
26.304,0.62854
26.336,0.6129
26.368,0.59433
26.4,0.5738
26.432,0.55327
26.464,0.53275
26.496,0.51222
26.528,0.49267
26.56,0.47605
26.592,0.46139
26.624,0.44673
26.656,0.43304
26.688,0.42033
26.72,0.4086
26.752,0.39785
26.784,0.38807
26.816,0.37928
26.848,0.37146
26.88,0.36364
26.912,0.35679
26.944,0.34995
26.976,0.34506
27.008,0.3392
27.04,0.33236
27.072,0.32454
27.104,0.31769
27.136,0.31085
27.168,0.30401
27.2,0.29912
27.232,0.29326
27.264,0.28837
27.296,0.28348
27.328,0.27859
27.36,0.27468
27.392,0.27077
27.424,0.26686
27.456,0.26295
27.488,0.25904
27.52,0.25513
27.552,0.25122
27.584,0.24829
27.616,0.24438
27.648,0.24047
27.68,0.23656
27.712,0.23363
27.744,0.23167
27.776,0.22972
27.808,0.22678
27.84,0.22287
27.872,0.21994
27.904,0.21799
27.936,0.21701
27.968,0.22092
28,0.22972
28.032,0.24536
28.064,0.26882
28.096,0.3001
28.128,0.3392
28.16,0.37732
28.192,0.41544
28.224,0.45943
28.256,0.50342
28.288,0.54643
28.32,0.58553
28.352,0.61975
28.384,0.64907
28.416,0.67253
28.448,0.69306
28.48,0.7087
28.512,0.72141
28.544,0.73021
28.576,0.73509
28.608,0.73998
28.64,0.74389
28.672,0.7478
28.704,0.74976
28.736,0.75073
28.768,0.74878
28.8,0.74487
28.832,0.73803
28.864,0.72923
28.896,0.71652
28.928,0.70283
28.96,0.68915
28.992,0.67546
29.024,0.65885
29.056,0.64125
29.088,0.62268
29.12,0.60508
29.152,0.58847
29.184,0.57185
29.216,0.55621
29.248,0.54154
29.28,0.52884
29.312,0.51613
29.344,0.50538
29.376,0.4956
29.408,0.48778
29.44,0.47996
29.472,0.47507
29.504,0.47214
29.536,0.47312
29.568,0.47801
29.6,0.48485
29.632,0.49462
29.664,0.50538
29.696,0.51613
29.728,0.5259
29.76,0.53372
29.792,0.54057
29.824,0.54839
29.856,0.55621
29.888,0.565
29.92,0.57283
29.952,0.57869
29.984,0.58162
30.016,0.57869
30.048,0.57087
30.08,0.55718
30.112,0.53959
30.144,0.52102
30.176,0.50147
30.208,0.47801
30.24,0.45259
30.272,0.42522
30.304,0.39785
30.336,0.3695
30.368,0.34311
30.4,0.31769
30.432,0.29521
30.464,0.2737
30.496,0.25611
30.528,0.24242
30.56,0.23363
30.592,0.23069
30.624,0.23167
30.656,0.24047
30.688,0.25709
30.72,0.2825
30.752,0.31476
30.784,0.35288
30.816,0.39394
30.848,0.43597
30.88,0.47801
30.912,0.51711
30.944,0.54741
30.976,0.57283
31.008,0.59726
31.04,0.61975
31.072,0.63832
31.104,0.65396
31.136,0.66569
31.168,0.67546
31.2,0.68231
31.232,0.68719
31.264,0.68915
31.296,0.68915
31.328,0.68719
31.36,0.68328
31.392,0.67742
31.424,0.6696
31.456,0.6608
31.488,0.65005
31.52,0.63734
31.552,0.62268
31.584,0.60704
31.616,0.58847
31.648,0.56989
31.68,0.55034
31.712,0.53079
31.744,0.51417
31.776,0.49951
31.808,0.48387
31.84,0.47019
31.872,0.45748
31.904,0.44673
31.936,0.43695
31.968,0.42913
32,0.42229
32.032,0.41544
32.064,0.4086
32.096,0.40274
32.128,0.39785
32.16,0.39394
32.192,0.38905
32.224,0.38416
32.256,0.38025
32.288,0.37537
32.32,0.37146
32.352,0.36755
32.384,0.36266
32.416,0.35875
32.448,0.35386
32.48,0.34995
32.512,0.34604
32.544,0.34311
32.576,0.34115
32.608,0.33822
32.64,0.33627
32.672,0.33236
32.704,0.32942
32.736,0.32649
32.768,0.32356
32.8,0.32063
32.832,0.31769
32.864,0.31476
32.896,0.31183
32.928,0.30987
32.96,0.3089
32.992,0.30694
33.024,0.30499
33.056,0.30205
33.088,0.29814
33.12,0.29521
33.152,0.29228
33.184,0.29228
33.216,0.29619
33.248,0.30596
33.28,0.3216
33.312,0.34409
33.344,0.37048
33.376,0.3998
33.408,0.43597
33.44,0.47703
33.472,0.52004
33.504,0.56207
33.536,0.6002
33.568,0.63539
33.6,0.66471
33.632,0.6911
33.664,0.71261
33.696,0.73021
33.728,0.74194
33.76,0.74976
33.792,0.75758
33.824,0.76344
33.856,0.76735
33.888,0.76931
33.92,0.76931
33.952,0.76833
33.984,0.7654
34.016,0.76149
34.048,0.75464
34.08,0.74585
34.112,0.73412
34.144,0.72141
34.176,0.70772
34.208,0.6911
34.24,0.67351
34.272,0.65591
34.304,0.63636
34.336,0.61779
34.368,0.59922
34.4,0.5826
34.432,0.56598
34.464,0.55132
34.496,0.53763
34.528,0.52688
34.56,0.51711
34.592,0.50733
34.624,0.49756
34.656,0.48974
34.688,0.48094
34.72,0.47312
34.752,0.4653
34.784,0.45846
34.816,0.45161
34.848,0.44477
34.88,0.43695
34.912,0.43011
34.944,0.42424
34.976,0.41935
35.008,0.41349
35.04,0.40762
35.072,0.40078
35.104,0.39492
35.136,0.38905
35.168,0.38319
35.2,0.3783
35.232,0.37341
35.264,0.36852
35.296,0.36266
35.328,0.35777
35.36,0.35386
35.392,0.34995
35.424,0.34604
35.456,0.34115
35.488,0.33724
35.52,0.33236
35.552,0.32845
35.584,0.32356
35.616,0.32063
35.648,0.31574
35.68,0.31183
35.712,0.30792
35.744,0.30596
35.776,0.30401
35.808,0.30303
35.84,0.30596
35.872,0.31183
35.904,0.32454
35.936,0.34506
35.968,0.37243
36,0.40665
36.032,0.44673
36.064,0.48876
36.096,0.53177
36.128,0.56891
36.16,0.6002
36.192,0.63245
36.224,0.66178
36.256,0.68719
36.288,0.70968
36.32,0.72727
36.352,0.74194
36.384,0.75269
36.416,0.76149
36.448,0.76735
36.48,0.77028
36.512,0.77224
36.544,0.77028
36.576,0.76735
36.608,0.76344
36.64,0.75758
36.672,0.75073
36.704,0.74194
36.736,0.73118
36.768,0.7175
36.8,0.70186
36.832,0.68426
36.864,0.66569
36.896,0.64614
36.928,0.62757
36.96,0.61095
36.992,0.59335
37.024,0.57478
37.056,0.55718
37.088,0.54154
37.12,0.5259
37.152,0.5132
37.184,0.50049
37.216,0.49071
37.248,0.48192
37.28,0.47312
37.312,0.4653
37.344,0.45846
37.376,0.45259
37.408,0.44673
37.44,0.43988
37.472,0.43304
37.504,0.42717
37.536,0.42033
37.568,0.41349
37.6,0.40665
37.632,0.3998
37.664,0.39394
37.696,0.38807
37.728,0.38319
37.76,0.37928
37.792,0.37439
37.824,0.36852
37.856,0.36266
37.888,0.35777
37.92,0.35191
37.952,0.34702
37.984,0.34213
38.016,0.33822
38.048,0.33431
38.08,0.3304
38.112,0.32649
38.144,0.32454
38.176,0.3216
38.208,0.31867
38.24,0.31378
38.272,0.30987
38.304,0.30499
38.336,0.30108
38.368,0.29717
38.4,0.29326
38.432,0.29032
38.464,0.2913
38.496,0.29521
38.528,0.30205
38.56,0.31378
38.592,0.33236
38.624,0.35777
38.656,0.39003
38.688,0.42522
38.72,0.46334
38.752,0.50147
38.784,0.53861
38.816,0.57185
38.848,0.60117
38.88,0.62659
38.912,0.64516
38.944,0.65885
38.976,0.67058
39.008,0.68133
39.04,0.68915
39.072,0.69599
39.104,0.6999
39.136,0.70283
39.168,0.70479
39.2,0.70479
39.232,0.70186
39.264,0.69795
39.296,0.6911
39.328,0.68426
39.36,0.67546
39.392,0.66471
39.424,0.65103
39.456,0.63636
39.488,0.61975
39.52,0.60117
39.552,0.5826
39.584,0.56403
39.616,0.54545
39.648,0.52688
39.68,0.51026
39.712,0.49658
39.744,0.48485
39.776,0.4741
39.808,0.46334
39.84,0.45357
39.872,0.44477
39.904,0.43597
39.936,0.42815
39.968,0.42033
40,0.41251
40.032,0.40567
40.064,0.39883
40.096,0.39296
40.128,0.38807
40.16,0.38416
40.192,0.37928
40.224,0.37341
40.256,0.36755
40.288,0.36168
40.32,0.35582
40.352,0.34995
40.384,0.34311
40.416,0.33724
40.448,0.33236
40.48,0.32747
40.512,0.32454
40.544,0.32454
40.576,0.32551
40.608,0.32942
40.64,0.33627
40.672,0.34409
40.704,0.35288
40.736,0.3607
40.768,0.36657
40.8,0.37048
40.832,0.37243
40.864,0.37341
40.896,0.37341
40.928,0.37243
40.96,0.37146
40.992,0.3695
41.024,0.36755
41.056,0.36559
41.088,0.36364
41.12,0.36461
41.152,0.36755
41.184,0.37537
41.216,0.39003
41.248,0.41153
41.28,0.43793
41.312,0.4653
41.344,0.49267
41.376,0.52493
41.408,0.55816
41.44,0.59042
41.472,0.62072
41.504,0.64809
41.536,0.67253
41.568,0.69404
41.6,0.71163
41.632,0.72532
41.664,0.73607
41.696,0.74389
41.728,0.74682
41.76,0.74585
41.792,0.74487
41.824,0.74096
41.856,0.73705
41.888,0.73021
41.92,0.72141
41.952,0.71163
41.984,0.69892
42.016,0.68328
42.048,0.66667
42.08,0.64712
42.112,0.62854
42.144,0.60899
42.176,0.58749
42.208,0.56403
42.24,0.53959
42.272,0.51515
42.304,0.49267
42.336,0.47019
42.368,0.44966
42.4,0.42913
42.432,0.41153
42.464,0.39492
42.496,0.38025
42.528,0.3695
42.56,0.3607
42.592,0.35191
42.624,0.34213
42.656,0.33333
42.688,0.32454
42.72,0.31574
42.752,0.30792
42.784,0.3001
42.816,0.29326
42.848,0.28641
42.88,0.28055
42.912,0.27664
42.944,0.2737
42.976,0.26882
43.008,0.26491
43.04,0.26002
43.072,0.25611
43.104,0.2522
43.136,0.24829
43.168,0.24438
43.2,0.24242
43.232,0.23949
43.264,0.23656
43.296,0.2346
43.328,0.23363
43.36,0.23363
43.392,0.23363
43.424,0.23265
43.456,0.23167
43.488,0.23069
43.52,0.22874
43.552,0.22776
43.584,0.22581
43.616,0.22385
43.648,0.22287
43.68,0.22385
43.712,0.22678
43.744,0.23265
43.776,0.24242
43.808,0.25806
43.84,0.28055
43.872,0.30987
43.904,0.34506
43.936,0.38514
43.968,0.42815
44,0.47116
44.032,0.5132
44.064,0.5523
44.096,0.58749
44.128,0.61486
44.16,0.63734
44.192,0.65787
44.224,0.67742
44.256,0.69306
44.288,0.70674
44.32,0.7175
44.352,0.72727
44.384,0.73412
44.416,0.73803
44.448,0.74096
44.48,0.74096
44.512,0.73998
44.544,0.73705
44.576,0.73216
44.608,0.7263
44.64,0.71848
44.672,0.7087
44.704,0.69599
44.736,0.68231
44.768,0.66764
44.8,0.65103
44.832,0.63343
44.864,0.61486
44.896,0.59629
44.928,0.58065
44.96,0.56598
44.992,0.55034
45.024,0.53666
45.056,0.52493
45.088,0.51417
45.12,0.5044
45.152,0.4956
45.184,0.48778
45.216,0.48094
45.248,0.47312
45.28,0.4653
45.312,0.46334
45.344,0.46334
45.376,0.46041
45.408,0.4565
45.44,0.45161
45.472,0.44673
45.504,0.44184
45.536,0.43695
45.568,0.43109
45.6,0.42522
45.632,0.42033
45.664,0.41447
45.696,0.40958
45.728,0.40567
45.76,0.40274
45.792,0.3998
45.824,0.39589
45.856,0.39198
45.888,0.38807
45.92,0.38416
45.952,0.38123
45.984,0.37732
46.016,0.37341
46.048,0.3695
46.08,0.36559
46.112,0.36266
46.144,0.3607
46.176,0.35777
46.208,0.35484
46.24,0.35191
46.272,0.34897
46.304,0.348
46.336,0.348
46.368,0.35093
46.4,0.35777
46.432,0.37146
46.464,0.39198
46.496,0.41447
46.528,0.43988
46.56,0.47214
46.592,0.50929
46.624,0.54839
46.656,0.58651
46.688,0.62268
46.72,0.65494
46.752,0.68328
46.784,0.70772
46.816,0.72727
46.848,0.74487
46.88,0.75855
46.912,0.76735
46.944,0.77322
46.976,0.7781
47.008,0.78201
47.04,0.78495
47.072,0.78495
47.104,0.78495
47.136,0.78201
47.168,0.77908
47.2,0.77615
47.232,0.77126
47.264,0.76735
47.296,0.76149
47.328,0.75464
47.36,0.74682
47.392,0.73705
47.424,0.72727
47.456,0.71652
47.488,0.70577
47.52,0.69599
47.552,0.68719
47.584,0.67937
47.616,0.67253
47.648,0.66569
47.68,0.65982
47.712,0.65396
47.744,0.64712
47.776,0.64125
47.808,0.63539
47.84,0.6305
47.872,0.62561
47.904,0.6217
47.936,0.61779
47.968,0.6129
48,0.60802
48.032,0.60215
48.064,0.59531
48.096,0.58847
48.128,0.58162
48.16,0.57283
48.192,0.56403
48.224,0.55327
48.256,0.54252
48.288,0.53177
48.32,0.52199
48.352,0.51222
48.384,0.5044
48.416,0.49658
48.448,0.48876
48.48,0.48192
48.512,0.47605
48.544,0.47019
48.576,0.46334
48.608,0.45552
48.64,0.4477
48.672,0.43793
48.704,0.42717
48.736,0.41642
48.768,0.40567
48.8,0.39394
48.832,0.38221
48.864,0.37048
48.896,0.36168
48.928,0.35386
48.96,0.34604
48.992,0.34018
49.024,0.33724
49.056,0.33822
49.088,0.34604
49.12,0.3607
49.152,0.38221
49.184,0.4086
49.216,0.43891
49.248,0.47214
49.28,0.50635
49.312,0.5347
49.344,0.55914
49.376,0.58358
49.408,0.60508
49.44,0.62463
49.472,0.64027
49.504,0.65298
49.536,0.66373
49.568,0.67155
49.6,0.67742
49.632,0.68133
49.664,0.68328
49.696,0.68231
49.728,0.68035
49.76,0.6784
49.792,0.67449
